ticker,reason,membership_from,membership_to,tiingo_name,tiingo_start,tiingo_end,note
AZA-A,NO_PRICE_DATA,,2001-06-25,Alza Corp,,,ticker is known to Tiingo but carries no price history
BDK,NO_PRICE_DATA,,2010-03-15,BLACK & DECKER CORP,,,ticker is known to Tiingo but carries no price history
BFO,NO_COVERAGE,,2000-10-03,BlackRock Florida Municipal 2020 Term Tr,2003-09-29,2020-12-15,Tiingo coverage starts 2003-09-29 but index membership ended 2000-10-03
BGEN,NO_PRICE_DATA,2000-01-31,2003-11-13,BIOGEN INC,,,ticker is known to Tiingo but carries no price history
BHMSQ,NO_PRICE_DATA,,2000-12-11,Bethlehem Steel Corp,,,ticker is known to Tiingo but carries no price history
BIG,NO_PRICE_DATA,,2013-02-14,,,,ticker is known to Tiingo but carries no price history
BLL,NO_PRICE_DATA,,2022-05-10,,,,ticker is known to Tiingo but carries no price history
BLS,NO_PRICE_DATA,,2007-01-03,BELLSOUTH CORP,,,ticker is known to Tiingo but carries no price history
BMET,NO_PRICE_DATA,,2007-07-12,BIOMET INC,,,ticker is known to Tiingo but carries no price history
BNI,NO_PRICE_DATA,,2010-02-16,BURLINGTON NORTHERN SANTA FE LLC,,,ticker is known to Tiingo but carries no price history
BOL,NO_PRICE_DATA,,2007-10-29,BAUSCH & LOMB INC,,,ticker is known to Tiingo but carries no price history
BSC,NO_PRICE_DATA,,2008-06-02,BEAR STEARNS COMPANIES INC,,,ticker is known to Tiingo but carries no price history
BTUUQ,NO_COVERAGE,2006-11-20,2014-09-22,PEABODY ENERGY CORP,2016-01-04,2017-04-11,Tiingo coverage starts 2016-01-04 but index membership ended 2014-09-22
BUD,NO_COVERAGE,,2008-11-18,Anheuser-Busch InBev SA/NV,2009-07-01,2026-08-04,Tiingo coverage starts 2009-07-01 but index membership ended 2008-11-18
CA,REUSED_TICKER,,2018-11-06,XTRACKERS CALIFORNIA MUNICIPAL BOND ETF ,2023-12-14,2026-08-04,"Tiingo's manifest lists this ticker 2 times, so the string was reused; the security returned may not be the index member"
CBE,NO_PRICE_DATA,,2012-12-03,Cooper Industries Plc,,,ticker is known to Tiingo but carries no price history
CBH,NO_COVERAGE,2006-06-06,2008-03-31,Virtus Convertible & Income 2024 Target Term Fund,2017-06-28,2024-08-26,Tiingo coverage starts 2017-06-28 but index membership ended 2008-03-31
CBS,NOT_FOUND,,2019-12-05,,,,Tiingo does not know this ticker at all
CBSS,NO_PRICE_DATA,2004-12-20,2007-09-07,COMPASS BANCSHARES INC,,,ticker is known to Tiingo but carries no price history
CCTYQ,NO_PRICE_DATA,,2008-03-31,CIRCUIT CITY STORES INC,,,ticker is known to Tiingo but carries no price history
CDAY,NO_COVERAGE,2021-09-20,2024-02-02,Hamilton Enhanced Canadian Equity DayMAX ETF,2026-06-08,2026-06-10,Tiingo coverage starts 2026-06-08 but index membership ended 2024-02-02
CEN,NO_COVERAGE,,2001-04-02,Center Coast Brookfield MLP & Energy Infrastructure Fund,2013-09-26,2023-10-06,Tiingo coverage starts 2013-09-26 but index membership ended 2001-04-02
CEPH,NO_PRICE_DATA,2008-11-17,2011-10-14,CEPHALON INC,,,ticker is known to Tiingo but carries no price history
CFC,NO_PRICE_DATA,,2008-07-01,COUNTRYWIDE FINANCIAL CORP,,,ticker is known to Tiingo but carries no price history
CG,NO_COVERAGE,,2000-11-02,Carlyle Group Inc (The),2012-05-03,2026-08-04,Tiingo coverage starts 2012-05-03 but index membership ended 2000-11-02
CGP,NO_PRICE_DATA,,2001-01-30,COASTAL CORP,,,ticker is known to Tiingo but carries no price history
CHA,REUSED_TICKER,,2000-06-19,Chagee Holdings Ltd,2025-04-17,2026-08-04,"Tiingo's manifest lists this ticker 2 times, so the string was reused; the security returned may not be the index member"
CHIR,NO_COVERAGE,2000-11-24,2006-04-20,Global X MSCI China Real Estate ETF,2018-12-11,2024-02-23,Tiingo coverage starts 2018-12-11 but index membership ended 2006-04-20
CIN,NO_PRICE_DATA,,2006-04-03,CINERGY CORP,,,ticker is known to Tiingo but carries no price history
CIT-A,NO_PRICE_DATA,2000-07-17,2001-06-04,Cit Group Inc,,,ticker is known to Tiingo but carries no price history
CITGQ,NO_PRICE_DATA,2004-10-27,2009-07-27,CIT GROUP INC,,,ticker is known to Tiingo but carries no price history
CMVT,NO_COVERAGE,,2007-02-01,Comverse Technology Inc,2013-02-04,2013-02-21,Tiingo coverage starts 2013-02-04 but index membership ended 2007-02-01
CMX,NO_PRICE_DATA,2004-03-25,2007-03-23,CHEMX MATERIALS LIMITED,,,ticker is known to Tiingo but carries no price history
CNG,NO_PRICE_DATA,,2000-01-31,CONSOLIDATED NATURAL GAS CO,,,ticker is known to Tiingo but carries no price history
CNXT,NO_COVERAGE,2000-01-31,2002-06-26,VANECK CHINEXT INNOVATORS ETF ,2014-07-24,2026-08-04,Tiingo coverage starts 2014-07-24 but index membership ended 2002-06-26
COC-B,NO_PRICE_DATA,,2002-09-03,Conocophillips Holding Company,,,ticker is known to Tiingo but carries no price history
COG,NO_PRICE_DATA,2008-06-23,2021-10-04,COG FINANCIAL SERVICES LTD,,,ticker is known to Tiingo but carries no price history
COMS,NO_COVERAGE,,2000-07-28,COMSovereign Holding Corp,2020-01-13,2026-08-04,Tiingo coverage starts 2020-01-13 but index membership ended 2000-07-28
CPNLQ,NO_PRICE_DATA,2000-12-01,2005-12-02,CALPINE CORP,,,ticker is known to Tiingo but carries no price history
CPQ,NO_PRICE_DATA,,2002-05-06,COMPAQ COMPUTER CORP,,,ticker is known to Tiingo but carries no price history
CR,NO_COVERAGE,,2004-12-20,Crane Company,2023-03-29,2026-08-04,Tiingo coverage starts 2023-03-29 but index membership ended 2004-12-20
CSR,REUSED_TICKER,,2000-06-16,Centerspace,1997-10-17,2026-08-04,"Tiingo's manifest lists this ticker 2 times, so the string was reused; the security returned may not be the index member"
CTL,NO_PRICE_DATA,,2020-09-18,Qwest Corporation,,,ticker is known to Tiingo but carries no price history
CTRA,REUSED_TICKER,2021-10-04,2026-05-07,Coterra Energy Inc,1990-02-08,2026-05-06,"Tiingo's manifest lists this ticker 2 times, so the string was reused; the security returned may not be the index member"
CTX,NO_COVERAGE,,2009-08-19,Qwest Corporation 7.00 Notes Due 2052,2012-04-03,2018-08-20,Tiingo coverage starts 2012-04-03 but index membership ended 2009-08-19
CZR,REUSED_TICKER,2021-03-22,2025-09-22,Caesars Entertainment Inc,2014-09-22,2026-08-05,"Tiingo's manifest lists this ticker 2 times, so the string was reused; the security returned may not be the index member"
DALRQ,NO_PRICE_DATA,,2005-08-19,DELTA AIR LINES INC,,,ticker is known to Tiingo but carries no price history
DCNAQ,NO_PRICE_DATA,,2006-03-03,DANA CORP,,,ticker is known to Tiingo but carries no price history
DF,NO_COVERAGE,2006-04-03,2013-05-24,Dividend 15 Split Corp II - Class A,2026-06-04,2026-06-10,Tiingo coverage starts 2026-06-04 but index membership ended 2013-05-24
DISCA,NO_COVERAGE,2010-03-01,2022-04-11,,2022-04-06,2022-09-16,HUMAN OVERRIDE: Discovery became Warner Bros. Discovery in April 2022; Tiingo's DISCA is a 5-day stub with no security name. The real history lives under WBD -- add a ticker_aliases row rather than backfilling this. (auto verdict was: only 5 days of overlap -- needs a human decision)
DJ,NO_PRICE_DATA,,2007-12-14,DOW JONES & CO INC,,,ticker is known to Tiingo but carries no price history
DPHIQ,NO_PRICE_DATA,,2005-10-11,DELPHI CORP,,,ticker is known to Tiingo but carries no price history
DWDP,NOT_FOUND,2017-09-01,2019-06-03,,,,Tiingo does not know this ticker at all
DYN,REUSED_TICKER,2000-10-03,2009-12-21,Dyne Therapeutics Inc,2020-09-17,2026-08-04,"Tiingo's manifest lists this ticker 2 times, so the string was reused; the security returned may not be the index member"
EC,NO_COVERAGE,,2006-06-06,Ecopetrol SA,2008-09-18,2026-08-04,Tiingo coverage starts 2008-09-18 but index membership ended 2006-06-06
EFU,NO_COVERAGE,,2000-11-02,ProShares UltraShort MSCI EAFE -2x Shares,2007-10-25,2026-08-04,Tiingo coverage starts 2007-10-25 but index membership ended 2000-11-02
EHC,NO_COVERAGE,,2003-03-21,Encompass Health Corp,2017-12-29,2026-08-04,Tiingo coverage starts 2017-12-29 but index membership ended 2003-03-21
EKDKQ,NO_PRICE_DATA,,2010-12-20,Eastman Kodak Company,,,ticker is known to Tiingo but carries no price history
ENDP,NOT_FOUND,2015-01-27,2017-03-02,,,,Tiingo does not know this ticker at all
ENRNQ,NO_PRICE_DATA,,2001-11-30,ENRON CORP,,,ticker is known to Tiingo but carries no price history
EOP,NO_PRICE_DATA,2001-10-10,2007-02-12,EQUITY OFFICE PROPERTIES TRUST,,,ticker is known to Tiingo but carries no price history
EP,REUSED_TICKER,,2012-05-25,Empire Petroleum Corporation,2011-02-23,2026-08-04,"Tiingo's manifest lists this ticker 2 times, so the string was reused; the security returned may not be the index member"
EQ,NO_COVERAGE,2006-05-18,2009-07-01,Equillium Inc,2018-10-12,2026-08-04,Tiingo coverage starts 2018-10-12 but index membership ended 2009-07-01
ESV,NOT_FOUND,2007-01-04,2016-03-30,,,,Tiingo does not know this ticker at all
ETS,NO_COVERAGE,,2001-08-06,Elite Express Holding Inc - Class A,2025-08-21,2026-08-04,Tiingo coverage starts 2025-08-21 but index membership ended 2001-08-06
FB,NO_COVERAGE,2013-12-23,2022-06-09,PROSHARES S&P 500 DYNAMIC DAILY BUFFER ETF ,2025-06-26,2026-08-04,Tiingo coverage starts 2025-06-26 but index membership ended 2022-06-09
FBF,NO_PRICE_DATA,,2004-04-01,FLEETBOSTON FINANCIAL CORP,,,ticker is known to Tiingo but carries no price history
FBHS,NO_PRICE_DATA,2016-06-24,2022-12-19,,,,ticker is known to Tiingo but carries no price history
FDC,NO_COVERAGE,,2007-09-25,FIRST DATA CORP,2015-10-15,2019-08-05,Tiingo coverage starts 2015-10-15 but index membership ended 2007-09-25
FII,NOT_FOUND,2003-04-16,2013-01-02,,,,Tiingo does not know this ticker at all
FJ,NO_PRICE_DATA,,2000-11-24,FORT JAMES CORP,,,ticker is known to Tiingo but carries no price history
FLTWQ,NO_PRICE_DATA,,2000-01-31,FLEETWOOD ENTERPRISES INC,,,ticker is known to Tiingo but carries no price history
FPC,NO_COVERAGE,,2000-12-01,Ford Motor Company,2026-06-10,2026-08-04,Tiingo coverage starts 2026-06-10 but index membership ended 2000-12-01
FRC,NOT_FOUND,2019-01-02,2023-05-07,,,,Tiingo does not know this ticker at all
FSH,NO_PRICE_DATA,2004-08-03,2006-11-10,FISHER SCIENTIFIC INTERNATIONAL INC,,,ticker is known to Tiingo but carries no price history
FSL,NO_COVERAGE,2004-12-03,2006-12-04,Freescale Semiconductor Ltd,2011-05-26,2015-12-15,Tiingo coverage starts 2011-05-26 but index membership ended 2006-12-04
FTR,REUSED_TICKER,2001-02-27,2017-03-20,Frontier Communications Corp,2020-04-23,2021-06-01,"Tiingo's manifest lists this ticker 2 times, so the string was reused; the security returned may not be the index member"
G,NO_COVERAGE,,2005-10-03,Genpact Ltd,2007-08-02,2026-08-04,Tiingo coverage starts 2007-08-02 but index membership ended 2005-10-03
GAPTQ,NO_PRICE_DATA,,2000-08-30,GREAT ATLANTIC PACIFIC TEA CO INC,,,ticker is known to Tiingo but carries no price history
GDT,NO_COVERAGE,,2006-04-24,WISDOMTREE EFFICIENT TIPS PLUS GOLD FUND ,2026-01-22,2026-08-04,Tiingo coverage starts 2026-01-22 but index membership ended 2006-04-24
GDW,NO_PRICE_DATA,,2006-10-02,GOLDEN WEST FINANCIAL CORP,,,ticker is known to Tiingo but carries no price history
GLK,NO_PRICE_DATA,,2005-07-05,GREAT LAKES CHEMICAL CORP,,,ticker is known to Tiingo but carries no price history
GP,NO_COVERAGE,,2005-12-20,GreenPower Motor Company Inc,2015-02-10,2026-08-04,Tiingo coverage starts 2015-02-10 but index membership ended 2005-12-20
GPS,NO_PRICE_DATA,,2022-02-02,GPS ALLIANCE HOLDINGS LTD,,,ticker is known to Tiingo but carries no price history
GPU,NO_PRICE_DATA,,2001-11-07,GPU INC,,,ticker is known to Tiingo but carries no price history
GR,NO_PRICE_DATA,,2012-07-27,GOODRICH CORP,,,ticker is known to Tiingo but carries no price history
GTE,NO_COVERAGE,,2000-07-03,Gran Tierra Energy Inc,2005-12-21,2026-08-04,Tiingo coverage starts 2005-12-21 but index membership ended 2000-07-03
GTW,NO_PRICE_DATA,,2006-08-01,GATEWAY INC,,,ticker is known to Tiingo but carries no price history
GX,NO_PRICE_DATA,,2001-10-10,GLOBAL CROSSING CAYMAN LTD,,,ticker is known to Tiingo but carries no price history
H,NO_COVERAGE,,2007-04-10,Hyatt Hotels Corporation - Class A,2009-11-05,2026-08-04,Tiingo coverage starts 2009-11-05 but index membership ended 2007-04-10
HCR,NO_COVERAGE,,2007-11-09,MANOR CARE INC,2019-06-03,2020-07-13,Tiingo coverage starts 2019-06-03 but index membership ended 2007-11-09
HET,NO_PRICE_DATA,,2008-01-29,,,,ticker is known to Tiingo but carries no price history
HFC,NOT_FOUND,2018-06-18,2021-06-04,,,,Tiingo does not know this ticker at all
HI,NO_COVERAGE,,2003-03-31,Hillenbrand Inc,2008-03-28,2026-02-10,Tiingo coverage starts 2008-03-28 but index membership ended 2003-03-31
HM,NO_PRICE_DATA,,2001-12-17,HOMESTAKE MINING CO,,,ticker is known to Tiingo but carries no price history
HMA,REUSED_TICKER,2001-11-07,2007-03-02,Heartland Media Acquisition Corp - Class A,2022-03-14,2023-07-25,"Tiingo's manifest lists this ticker 2 times, so the string was reused; the security returned may not be the index member"
HRS,NOT_FOUND,2008-09-22,2019-06-01,,,,Tiingo does not know this ticker at all
IAC,NO_PRICE_DATA,2006-12-01,2008-08-21,,,,ticker is known to Tiingo but carries no price history
IGT,NO_PRICE_DATA,2001-09-04,2014-06-20,,,,ticker is known to Tiingo but carries no price history
IKN,NO_COVERAGE,,2000-06-29,IKON OFFICE SOLUTIONS INC,2006-12-28,2008-11-21,Tiingo coverage starts 2006-12-28 but index membership ended 2000-06-29
IMNX,NO_PRICE_DATA,2001-09-21,2002-07-16,IMMUNEX CORP,,,ticker is known to Tiingo but carries no price history
INCLF,NO_PRICE_DATA,,2002-07-22,INCO LTD,,,ticker is known to Tiingo but carries no price history
INFO,REUSED_TICKER,2017-06-02,2022-03-02,HARBOR PANAGORA DYNAMIC LARGE CAP CORE ETF ,2024-10-10,2026-08-04,"Tiingo's manifest lists this ticker 2 times, so the string was reused; the security returned may not be the index member"
JCP,NOT_FOUND,,2013-12-02,,,,Tiingo does not know this ticker at all
JEC,NOT_FOUND,2007-10-26,2019-12-10,,,,Tiingo does not know this ticker at all
JHF,NO_PRICE_DATA,2001-06-29,2004-04-29,HANCOCK JOHN FINANCIAL SERVICES INC,,,ticker is known to Tiingo but carries no price history
JOS,NO_PRICE_DATA,,2000-05-10,JOSTENS INC,,,ticker is known to Tiingo but carries no price history
JP,NOT_FOUND,,2006-04-03,,,,Tiingo does not know this ticker at all
KM,NO_PRICE_DATA,,2002-01-17,KMART CORP,,,ticker is known to Tiingo but carries no price history
KORS,NOT_FOUND,2013-11-13,2018-09-19,,,,Tiingo does not know this ticker at all
KRB,NO_PRICE_DATA,,2006-01-03,MBNA CORP,,,ticker is known to Tiingo but carries no price history
KRI,NO_PRICE_DATA,,2006-06-28,KNIGHT RIDDER INC,,,ticker is known to Tiingo but carries no price history
KSE,NO_PRICE_DATA,2000-08-21,2007-08-27,KEYSPAN CORP,,,ticker is known to Tiingo but carries no price history
LB,NO_COVERAGE,,2021-08-03,Landbridge Company LLC. - Class A,2024-06-28,2026-08-04,Tiingo coverage starts 2024-06-28 but index membership ended 2021-08-03
LDG,NO_PRICE_DATA,,2001-07-02,LONGS DRUG STORES CORP,,,ticker is known to Tiingo but carries no price history
LDW-B,NOT_FOUND,,1999-12-08,,,,Tiingo does not know this ticker at all
LEHMQ,NO_PRICE_DATA,,2008-09-17,Lehman Brothers Holdings Inc,,,ticker is known to Tiingo but carries no price history
LU,NO_COVERAGE,,2006-12-01,Lufax Holding Ltd,2020-10-30,2026-08-04,Tiingo coverage starts 2020-10-30 but index membership ended 2006-12-01
LXK,NO_COVERAGE,,2012-10-01,Lexmark International Inc,2016-01-04,2016-11-29,Tiingo coverage starts 2016-01-04 but index membership ended 2012-10-01
MAY,NO_PRICE_DATA,,2005-08-29,MAY DEPARTMENT STORES CO,,,ticker is known to Tiingo but carries no price history
MEA,NO_COVERAGE,,2002-01-30,Metalico Inc,2005-08-17,2015-09-11,Tiingo coverage starts 2005-08-17 but index membership ended 2002-01-30
MEDI,NO_COVERAGE,2000-06-16,2007-06-01,HARBOR HEALTH CARE ETF ,2022-11-17,2026-08-04,Tiingo coverage starts 2022-11-17 but index membership ended 2007-06-01
MEE,NO_PRICE_DATA,,2011-06-02,MASSEY ENERGY CO,,,ticker is known to Tiingo but carries no price history
MEL,NO_PRICE_DATA,,2007-07-02,MELLON FINANCIAL CORP,,,ticker is known to Tiingo but carries no price history
MERQ,NO_PRICE_DATA,2000-06-29,2006-01-04,Merqueo Holdings,,,ticker is known to Tiingo but carries no price history
MIR,REUSED_TICKER,,2003-07-17,Mirion Technologies Inc - Class A,2020-08-20,2026-08-04,"Tiingo's manifest lists this ticker 2 times, so the string was reused; the security returned may not be the index member"
MKG,NO_PRICE_DATA,,2000-10-18,MALLINCKRODT INC,,,ticker is known to Tiingo but carries no price history
MMI,NO_COVERAGE,2011-01-04,2012-05-22,Marcus & Millichap Inc,2013-10-31,2026-08-04,Tiingo coverage starts 2013-10-31 but index membership ended 2012-05-22
MOLX,NO_PRICE_DATA,,2013-12-09,Molex Inc,,,ticker is known to Tiingo but carries no price history
MTLQQ,NO_PRICE_DATA,,2009-06-03,General Motors Corp,,,ticker is known to Tiingo but carries no price history
MYG,NO_PRICE_DATA,,2006-04-03,MAYTAG CORP,,,ticker is known to Tiingo but carries no price history
MZIAQ,NO_PRICE_DATA,,2000-06-29,MILACRON INC,,,ticker is known to Tiingo but carries no price history
NCC,NO_PRICE_DATA,,2009-01-02,NATIONAL CITY CORP,,,ticker is known to Tiingo but carries no price history
NCE,NO_PRICE_DATA,,2000-08-21,NEW CENTURY ENERGIES INC,,,ticker is known to Tiingo but carries no price history
NCR,NO_PRICE_DATA,2000-01-04,2007-10-01,NUCOAL RESOURCES LTD,,,ticker is known to Tiingo but carries no price history
NFB,NO_PRICE_DATA,2002-07-17,2006-12-01,NORTH FORK BANCORPORATION INC,,,ticker is known to Tiingo but carries no price history
NFX,REUSED_TICKER,2010-12-20,2019-02-15,Corgi NFLX 2x Daily ETF,2026-07-07,2026-08-04,"Tiingo's manifest lists this ticker 2 times, so the string was reused; the security returned may not be the index member"
NGH,NO_PRICE_DATA,,2000-12-12,NABISCO GROUP HOLDINGS CORP,,,ticker is known to Tiingo but carries no price history
NLOK,NOT_FOUND,2019-11-05,2022-11-08,,,,Tiingo does not know this ticker at all
NLV,NOT_FOUND,,2000-01-06,,,,Tiingo does not know this ticker at all
NMK,NOT_FOUND,,2002-02-01,,,,Tiingo does not know this ticker at all
NOVL,NO_PRICE_DATA,,2011-04-28,NOVELL INC,,,ticker is known to Tiingo but carries no price history
NRTLQ,NO_COVERAGE,,2002-07-22,Nortel Networks Corporation USA,2010-01-04,2015-10-13,Tiingo coverage starts 2010-01-04 but index membership ended 2002-07-22
NSI,NO_COVERAGE,,2001-12-03,NATIONAL SECURITY EMERGING MARKETS INDEX ETF ,2023-12-07,2026-08-04,Tiingo coverage starts 2023-12-07 but index membership ended 2001-12-03
NXTL,NO_PRICE_DATA,,2005-08-15,NEXTEL COMMUNICATIONS INC,,,ticker is known to Tiingo but carries no price history
OAT,NOT_FOUND,,2001-08-03,,,,Tiingo does not know this ticker at all
OK,NO_PRICE_DATA,1999-12-02,2001-04-02,OLD KENT FINANCIAL CORP,,,ticker is known to Tiingo but carries no price history
ONE,NO_COVERAGE,,2004-07-01,HIGHER ONE HOLDINGS INC.,2010-06-16,2016-08-04,Tiingo coverage starts 2010-06-16 but index membership ended 2004-07-01
OWENQ,NO_PRICE_DATA,,2000-10-02,OWENS CORNING,,,ticker is known to Tiingo but carries no price history
PALM,NO_COVERAGE,2000-07-28,2002-08-14,PALM INC,2007-10-25,2010-07-19,Tiingo coverage starts 2007-10-25 but index membership ended 2002-08-14
PARA,REUSED_TICKER,2022-02-17,2025-08-09,Paramount Global - Class B,2006-01-03,2025-08-07,"Tiingo's manifest lists this ticker 2 times, so the string was reused; the security returned may not be the index member"
PBY,REUSED_TICKER,,2000-04-03,Prospect Capital Corp,2018-06-18,2021-06-14,"Tiingo's manifest lists this ticker 2 times, so the string was reused; the security returned may not be the index member"
PCS,NO_COVERAGE,,2004-04-23,PGIM CORPORATE BOND 0-5 YEAR ETF ,2007-04-19,2026-08-04,Tiingo coverage starts 2007-04-19 but index membership ended 2004-04-23
PD,REUSED_TICKER,,2007-03-20,Pagerduty Inc,2019-04-11,2026-08-04,"Tiingo's manifest lists this ticker 2 times, so the string was reused; the security returned may not be the index member"
PDG,NO_PRICE_DATA,,2002-07-22,PLACER DOME INC Foreign,,,ticker is known to Tiingo but carries no price history
PEAK,REUSED_TICKER,2019-11-05,2024-03-04,PEAK INTERNATIONAL LTD,2023-02-10,2023-02-13,"HUMAN OVERRIDE: Tiingo returns PEAK INTERNATIONAL LTD (4 days in 2023). The index member was Healthpeak Properties, whose history is under DOC and already in the contract. Different company entirely. (auto verdict was: only 3 days of overlap -- needs a human decision)"
PGL,NO_PRICE_DATA,,2007-02-22,PEOPLES ENERGY CORP,,,ticker is known to Tiingo but carries no price history
PHA,NO_PRICE_DATA,,2003-04-16,PHARMACIA CORP,,,ticker is known to Tiingo but carries no price history
PKI,NO_PRICE_DATA,,2023-05-18,,,,ticker is known to Tiingo but carries no price history
PMCS,NO_COVERAGE,2001-08-03,2007-07-02,PMCSierra Inc,2016-01-04,2016-01-25,Tiingo coverage starts 2016-01-04 but index membership ended 2007-07-02
PNU,NO_PRICE_DATA,,2000-04-03,PHARMACIA & UPJOHN INC,,,ticker is known to Tiingo but carries no price history
PRD,NO_PRICE_DATA,,2000-12-12,POLAROID CORP,,,ticker is known to Tiingo but carries no price history
PSFT,NO_COVERAGE,,2004-12-29,Powersafe Technology Corp,2008-04-10,2024-10-29,Tiingo coverage starts 2008-04-10 but index membership ended 2004-12-29
PVN,NO_PRICE_DATA,,2005-10-03,,,,ticker is known to Tiingo but carries no price history
PWER,NO_COVERAGE,2000-10-23,2005-03-14,MACQUARIE ENERGY TRANSITION ETF ,2023-11-29,2026-08-04,Tiingo coverage starts 2023-11-29 but index membership ended 2005-03-14
PWJ,NO_PRICE_DATA,,2000-11-06,PAINE WEBBER GROUP INC,,,ticker is known to Tiingo but carries no price history
QLGC,NO_COVERAGE,2000-12-12,2011-01-18,QLogic Corp,2016-01-04,2016-08-24,Tiingo coverage starts 2016-01-04 but index membership ended 2011-01-18
QTRN,NO_PRICE_DATA,,2003-09-26,QUINTILES TRANSNATIONAL CORP,,,ticker is known to Tiingo but carries no price history
RAD,NO_PRICE_DATA,,2000-07-27,RADIOPHARM THERANOSTICS LIMITED,,,ticker is known to Tiingo but carries no price history
RAL,NO_COVERAGE,,2001-12-13,RALSTON PURINA CO,2025-06-30,2026-08-04,Tiingo coverage starts 2025-06-30 but index membership ended 2001-12-13
RATL,NO_PRICE_DATA,2002-02-01,2003-02-21,RATIONAL SOFTWARE CORP,,,ticker is known to Tiingo but carries no price history
